"Via","PK","Velocitat","Latitud","Longitud"
"C-55",68.193,90,41.9344009537808,1.62132031740721
"C-58",5.89,120,41.4953662754766,2.14960381977546
"C-58",15.726,120,41.5052856080534,2.11304917222722
"C-58",25.38,80,41.5429547250135,2.06677358248931
"C-58",26.85,80,41.5654895926121,1.96458129257996
"C-58",29.27,80,41.5772728667525,1.96042608373257
"C-58",29.8,80,41.5841806260946,1.93572089444329
"C-58",30.95,80,41.5846294349001,1.9287613897685
"C-58",38.15,90,41.5876634715457,1.91560872395089
"C-58","14,97-13,49",120,41.6222211876093,1.85869996171904
"C-58cc","1,8 -3,0",90,41.466295306722,2.17391898554529
"C-58cc","3,0 -1,8",90,41.4730625371689,2.16306645579257
"C-59",11.05,90,41.6060521607238,2.17974935344682
"C-59",15.354,80,41.6406578484082,2.16652732754905
"C-59",19.014,90,41.6705606117155,2.16504523338362
"C-59",37.365,90,41.7997168751425,2.10240648416897
"C-59","4,9-8,754",90,"41.558519"," 2.185633 "
"C-59","8,76-4,905",90,"41.592723  ","2.185627"
"C-60",3.364,120,41.5676095070471,2.39625365250567
"C-60",3.413,120,41.5680080926412,2.39601570501266
"C-63",4.1,80,41.739608518915,2.81575079795536
"C-63",4.8,80,41.7457444239289,2.81609533033485
"C-63",10.778,80,41.7785930687307,2.77748589844257
"C-63",21.194,90,41.838409454243,2.70189519457409
"C-65",6.662,100,41.8274944017212,2.96048849181047
"C-65",22.613,90,41.9097356581623,2.85245686290995
"C-65","17,22-12,43",90,41.8288713076188,2.89836421747778
"C-66",5.57,90,41.9518293078387,3.08887516929151
"C-66",38.107,100,42.0663308253932,2.81297370478148
"C-66",38.147,100,42.0666707849463,2.81311679172761
"C-66",54.117,90,42.1815542782623,2.74245261646188
"C-66","15,88-24,69",90,42.0045125026395,3.00156634737856
"C-66","24,69-15,89",90,42.0408053829302,2.92841794251562
"GI-512",2.69,90,41.7186209535721,2.71106468293442
"GI-552",13.345,90,41.7990868562759,2.54359909024921
"GI-623",6.249,90,42.128849665251,2.97446681361578
"GI-682",3.55,90,41.6742549074041,2.76560120748285
"GI-682",18.468,90,41.7198345958579,2.90474286111667
"L-200",1.733,90,41.6150065700758,0.885764686765794
"L-310",5.403,70,41.6953774397994,1.17179078472042
"L-310",13.81,90,41.7525285130285,1.23604708838507
"N-141a",108.811,90,41.9677859538553,2.72538649619447
"N-150",3.318,40,41.4868256042862,2.15694057057248
"N-150",15.555,90,41.5544766500621,2.05221054448288
"N-2",687.863,90,41.7460686616326,2.75063089089473
"N-2",736.539,90,42.1325427588367,2.90333014627385
"N-2",761,80,42.3081641904949,2.93550953354344
"N-2","709,5-713,8",90,41.9310375503654,2.80224377844826
"N-2","713,8-709,5",90,41.9564837348958,2.83821290942482
"N-2","716,6-719,5",80,41.9771287022448,2.84591249911026
"N-2","719,5-716,6",80,42.0011253575344,2.8480368060682
"N-2","751,4-758,9",80,"42.240272","2.983487 "
"N-2","758,8-751,3",80,"42.291934","2.947898 "
"N-2","769-771,67",80,42.3763449791381,2.89224680889743
"N-2","771,67-769",80,42.3907912368338,2.88349293434975
"N-230",27.505,90,41.8385726473487,0.568926335013873
"N-230",130.157,90,42.460370946304,0.71098996560394
"N-230",186.7,90,42.8459336522962,0.733055432116333
"N-230","150,5-156",80,42.6726252701881,0.777374980931381
"N-230","156-150,5",80,42.6253176499368,0.764104401752519
"N-240",15.7,80,41.2566729059478,1.24848806450655
"N-240",39.638,80,41.3929740530273,1.13207269988363
"N-240",53.188,90,41.4253017357848,0.986129046559778
"N-240",71.95,90,41.5375493167589,0.835188261409294
"N-240",80.475,90,41.5780529425895,0.753476730437672
"N-240",118.16,90,41.7562624782084,0.409287034019735
"N-260",26.32,90,42.326856388124,3.07510267058313
"N-260",50,90,42.2218000910872,2.82626428099573
"N-260",121.497,80,42.3100907723793,2.15487392933824
"N-260",199.075,90,42.3732315840649,1.7477080550944
"N-260",209.105,90,42.3661889318253,1.64797963185407
"N-260",233.302,90,42.3296701709917,1.40444964131278
"N-340",1068.355,90,40.5993137628309,0.560361185474767
"N-340",1084.318,90,40.7302652084572,0.59360017668152
"N-340",1091.842,90,40.7752407967865,0.659949137747744
"N-340",1104.766,90,40.86926108241,0.716049008299037
"N-340",1125.327,80,40.9718073989798,0.881190510471824
"N-340",1137.838,90,41.0450821257774,0.989120667976041
"N-340",1176.25,90,41.1586356039147,1.39244368169633
"N-340",1200.703,90,41.2762868174137,1.61122996105331
"N-340",1208.271,90,41.3328594386464,1.66486841810096
"N-340",1226.862,70,41.3941310813493,1.85698208725376
"N-340",1242.245,60,41.404254509611,1.99745863466666
"N-340","1074-1079",90,40.6482779521123,0.591605822452054
"N-340","1079-1074",90,40.6870561700974,0.583020208034781
"N-420",825.428,90,41.096911915128,0.656765829475738
"N-420",856.97,90,41.1719858054221,0.94753757714386
"N-420",862.945,80,41.1649222161187,0.987788968870052
"N-420a",879.314,70,41.1362129170838,1.14777405855274
"N-II",453.514,90,41.6029627313949,0.529509752580605
"N-II",636.415,80,41.4850253541958,2.34490364367694
"N-II",642.608,80,41.5123980840703,2.40922228654642
"N-II",648.355,90,41.5439692625965,2.4631302701173
"N-II",657.9,90,41.5807568535902,2.56279493553849
"N-II",665.159,60,41.6047231645226,2.63444840963316
"T-11",2.337,100,41.1546793420297,1.07652070342756
"T-11",5.87,100,41.1343402104114,1.10309282795779
"T-310",2.8,90,41.1435904941212,1.07785792321435
"T-310",9.296,90,41.1238239135145,1.01252145972293
"TP-2031",4.766,70,41.1570128212141,1.2711766487383
"TP-2125",4.795,90,41.2643227338681,1.55232817971165
"TV-3141",5.224,80,41.1240822669063,1.09632783967401
